OBJECTID,SOBI_ID,NAME,ADDRESS,DESCRIPTION,HAS_KIOSK,RACKS_AMOUNT,NETWORK_ID,SOBI_AREA_ID,LONGITUDE,LATITUDE,LAST_IMPORT_DATE
35,566,Aberdeen at Queen - 48,"ABERDEEN at SPRUCESIDE, Hamilton",,No,10,24,86,-79.8836993988543,43.2488085584277,2017-07-31
36,567,Herkimer at Queen - 49,"178, Herkimer Street, Hess Village, Hamilton, Ontario",,No,10,24,86,-79.8820853233337,43.2514086422204,2017-07-31
37,568,Ryerson Recreation Centre - 50,"251 Duke Street, Hamilton",,No,10,24,86,-79.8819466027797,43.2540651616154,2017-07-31
38,569,Hunter at Hess - 51,"131-133 Hess Street South, Hamilton",,No,15,24,86,-79.878896176815,43.255383107656,2017-07-31
39,570,Queen at Peter - 53,"80, Queen Street North, Hess Village, Hamilton, Ontario",,No,10,24,86,-79.877606006297,43.2618861338306,2017-07-31
40,571,40 Oxford - 54,"40-48 Oxford Street, Hamilton",,No,10,24,86,-79.8777937889099,43.2645637268914,2017-07-31
41,572,Durand Park - 55,"Durand Park, Park Street South, Corktown, Hamilton, Ontario",,No,14,24,86,-79.8765896596649,43.2498930603697,2017-07-31
42,573,James S at Charlton - 56,"232 James Street South, Hamilton",,No,10,24,86,-79.8720555723035,43.2496354495324,2017-07-31
43,574,Bay at Bold - 57,"100 Bold Street, Hamilton",,No,10,24,86,-79.8753935613187,43.2538302267771,2017-07-31
44,575,City Hall - 59,"58 Bay Street South, Hamilton",,No,17,24,86,-79.8744987564414,43.2561324863605,2017-07-31
45,576,Bay at York - 60,"55, Bay Street North, Hess Village, Hamilton, Ontario",,No,16,24,86,-79.8729990705895,43.2597759765548,2017-07-31
46,577,Bay at Mulberry - 62,"177, Bay Street North, Hess Village, Hamilton, Ontario",,No,11,24,86,-79.8718030750752,43.2631984415745,2017-07-31
47,578,Bay at Strachan - 63,"325 Bay Street North, Hamilton",,No,10,24,86,-79.8678305692086,43.267932395204,2017-07-31
48,579,Bayfront Park - 64,"Harbour Front Drive, North End, Hamilton, Ontario",,No,10,24,86,-79.8713484406471,43.2692667929571,2017-07-31
49,580,Ainslie at Emerson - 25,"65 Ainslie Avenue, Hamilton",,No,7,24,86,-79.9234422627427,43.2495181157076,2017-07-31
50,581,Strachan at Mary - 66,"127, Strachan Street East, North End, Hamilton, Ontario",,No,7,24,86,-79.8594326469212,43.2656936955384,2017-07-31
51,582,Hughson at Picton - 67,"448, Hughson Street North, North End, Hamilton, Ontario",,No,10,24,86,-79.861626657542,43.2701169222876,2017-07-31
